qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
TPPB_ECOLI	MF	0042937	tripeptide transmembrane transporter activity	14.3615430297	0.847003412436	1
TPPB_ECOLI	BP	0035442	dipeptide transmembrane transport	12.1018631687	0.809817872639	1
TPPB_ECOLI	CC	0005887	integral component of plasma membrane	4.63321873032	0.617241734525	1
TPPB_ECOLI	MF	0015333	peptide:proton symporter activity	13.7121810992	0.842375052983	2
TPPB_ECOLI	MF	0071916	dipeptide transmembrane transporter activity	12.3252083378	0.814457648686	3
TPPB_ECOLI	BP	0042939	tripeptide transport	11.9323280288	0.806267292717	3
TPPB_ECOLI	BP	0015031	protein transport	5.24537027494	0.63724826916	6
TPPB_ECOLI	BP	1902600	proton transmembrane transport	4.68638440362	0.619029810608	12
SYS_BDEBA	MF	0004828	serine-tRNA ligase activity	10.9888810319	0.786030466885	1
SYS_BDEBA	BP	0006434	seryl-tRNA aminoacylation	10.7781247531	0.781392390641	1
SYS_BDEBA	CC	0005737	cytoplasm	1.49792878034	0.482410135876	1
SYS_BDEBA	BP	0016260	selenocysteine biosynthetic process	10.3413214138	0.771633071242	2
SYS_BDEBA	BP	0097056	selenocysteinyl-tRNA(Sec) biosynthetic process	10.2965599507	0.770621436836	4
SYS_BDEBA	MF	0005524	ATP binding	2.91314730567	0.552526554613	7
NODB_BRASN	MF	0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	5.81973963785	0.654982462556	1
NODB_BRASN	BP	0005975	carbohydrate metabolic process	4.26193608578	0.60445751696	1
METK_PSYAR	MF	0004478	methionine adenosyltransferase activity	10.4643582456	0.774402547861	1
METK_PSYAR	BP	0006556	S-adenosylmethionine biosynthetic process	10.3045646734	0.770802509317	1
METK_PSYAR	CC	0005737	cytoplasm	1.47879964723	0.481271776099	1
METK_PSYAR	BP	0006730	one-carbon metabolic process	7.70231352878	0.707674173142	3
METK_PSYAR	MF	0000287	magnesium ion binding	5.15279295173	0.634300576324	3
METK_PSYAR	MF	0005524	ATP binding	2.77184503804	0.546441431722	4
SYE_ACIAD	MF	0004818	glutamate-tRNA ligase activity	11.0149065223	0.786600108742	1
SYE_ACIAD	BP	0006424	glutamyl-tRNA aminoacylation	10.4795444951	0.774743248831	1
SYE_ACIAD	CC	0005737	cytoplasm	1.57360308329	0.486843725528	1
SYE_ACIAD	MF	0000049	tRNA binding	6.76274876117	0.682296746069	2
SYE_ACIAD	MF	0008270	zinc ion binding	4.90248497483	0.626195391606	6
SYE_ACIAD	MF	0005524	ATP binding	2.94478864271	0.553868811744	11
SYT_RHOBA	MF	0004829	threonine-tRNA ligase activity	11.0267615015	0.78685936557	1
SYT_RHOBA	BP	0006435	threonyl-tRNA aminoacylation	10.7852825334	0.78155065069	1
SYT_RHOBA	CC	0005737	cytoplasm	1.58793597362	0.487671357456	1
SYT_RHOBA	MF	0000049	tRNA binding	6.31155092652	0.669483059703	4
SYT_RHOBA	MF	0005524	ATP binding	2.94241063758	0.553768185781	9
SYT_RHOBA	MF	0046872	metal ion binding	2.39816646082	0.529556931003	21
SYT_RHOBA	MF	0016787	hydrolase activity	0.0392776700372	0.333476599669	30
YIEG_ECOLI	MF	0015205	nucleobase transmembrane transporter activity	11.1265853085	0.789036910758	1
YIEG_ECOLI	BP	0015851	nucleobase transport	10.4753702832	0.774649625701	1
YIEG_ECOLI	CC	0016021	integral component of membrane	0.821505213873	0.436304814822	1
YIEG_ECOLI	BP	0055085	transmembrane transport	2.89918645697	0.551932004481	4
DHMH_METFK	MF	0030058	amine dehydrogenase activity	15.3073821519	0.852641266834	1
DHMH_METFK	BP	0030416	methylamine metabolic process	12.8501407046	0.825199789127	1
DHMH_METFK	CC	0042597	periplasmic space	6.86967244894	0.685270071114	1
DHMH_METFK	MF	0052876	methylamine dehydrogenase (amicyanin) activity	7.16673891406	0.693411516673	3
DHMH_METFK	BP	0055114	oxidation-reduction process	2.49998458153	0.534280650168	5
OMP51_HAEIN	MF	0015288	porin activity	8.90683688803	0.738039587834	1
OMP51_HAEIN	CC	0009279	cell outer membrane	6.22843080524	0.667073089238	1
OMP51_HAEIN	BP	0055085	transmembrane transport	2.64886298129	0.541017761053	1
OMP51_HAEIN	BP	0006811	ion transport	0.154430291377	0.361760143798	5
OMP51_HAEIN	BP	0009405	pathogenesis	0.105334685246	0.351825103527	6
OMP51_HAEIN	BP	0007155	cell adhesion	0.101197886665	0.350890465385	7
OMP51_HAEIN	CC	0016021	integral component of membrane	0.787916153855	0.433586259114	10
OMP51_HAEIN	BP	0061077	chaperone-mediated protein folding	0.0556673428486	0.338958383149	11
OMP51_HAEIN	BP	0043711	pilus organization	0.0505598735283	0.337348979096	12
OMP51_HAEIN	CC	0098796	membrane protein complex	0.194125997607	0.368674730735	15
OMP51_HAEIN	CC	0009289	pilus	0.120575563381	0.355119236664	16
OMP51_HAEIN	CC	0030288	outer membrane-bounded periplasmic space	0.0421663765871	0.334516025963	19
