qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
SYD_THETN	MF	0004815	aspartate-tRNA ligase activity	10.7056077522	0.779786051642	1
SYD_THETN	BP	0006422	aspartyl-tRNA aminoacylation	10.4436363813	0.773937257229	1
SYD_THETN	CC	0005737	cytoplasm	1.55026884178	0.485488218648	1
SYD_THETN	MF	0050560	aspartate-tRNA(Asn) ligase activity	4.83070408821	0.623833087473	5
SYD_THETN	MF	0005524	ATP binding	2.87923920937	0.551080022365	8
SYD_THETN	MF	0003676	nucleic acid binding	1.98495637854	0.509270072902	21
SYD_THETN	MF	0002161	aminoacyl-tRNA editing activity	0.0416457144367	0.334331372957	27
SYD_THETN	BP	0106074	aminoacyl-tRNA metabolism involved in translational fidelity	0.0405549592369	0.333940756279	43
IF2_STRA5	MF	0003743	translation initiation factor activity	8.56053337851	0.729531811003	1
IF2_STRA5	BP	0006413	translational initiation	8.13071122513	0.718729117319	1
IF2_STRA5	CC	0005737	cytoplasm	1.59714482231	0.488201139437	1
IF2_STRA5	MF	0003924	GTPase activity	6.74961144472	0.68192980804	5
IF2_STRA5	MF	0005525	GTP binding	5.40167749257	0.642166713385	6
SP0B_BACSU	MF	0000155	phosphorelay sensor kinase activity	5.85816929248	0.656137074766	1
SP0B_BACSU	BP	0023014	signal transduction by protein phosphorylation	5.61480977146	0.648759964256	1
SP0B_BACSU	CC	0005737	cytoplasm	0.0141321996962	0.321961220452	1
SP0B_BACSU	BP	0000160	phosphorelay signal transduction system	4.63800405045	0.61740309387	3
SP0B_BACSU	BP	0030435	sporulation resulting in formation of a cellular spore	0.0935939796966	0.349121229358	30
SYW_MYCTU	MF	0004830	tryptophan-tRNA ligase activity	10.9526651406	0.785236655487	1
SYW_MYCTU	BP	0006436	tryptophanyl-tRNA aminoacylation	10.7624043529	0.781044624687	1
SYW_MYCTU	CC	0005737	cytoplasm	1.57067527761	0.486674200657	1
SYW_MYCTU	MF	0005524	ATP binding	2.92289391256	0.552940788901	7
SYW_MYCTU	CC	0005886	plasma membrane	0.0166831451092	0.323454503877	7
SYW_MYCTU	CC	0016021	integral component of membrane	0.00446153846684	0.314398597525	11
SYL_MYCBO	MF	0004823	leucine-tRNA ligase activity	10.7169870943	0.780038476865	1
SYL_MYCBO	BP	0006429	leucyl-tRNA aminoacylation	10.5006640369	0.775216652113	1
SYL_MYCBO	CC	0005737	cytoplasm	1.53322085549	0.484491425338	1
SYL_MYCBO	MF	0002161	aminoacyl-tRNA editing activity	8.16006614338	0.719475844166	2
